"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 1999","48.45","49.30","49.70","48.30","5.71K","-1.62%"
"Oct 22, 1999","49.25","49.10","49.65","48.75","4.55K","1.03%"
"Oct 21, 1999","48.75","48.33","48.80","47.60","4.60K","1.73%"
"Oct 20, 1999","47.92","48.98","49.30","47.65","6.01K","-2.16%"
"Oct 19, 1999","48.98","47.20","49.05","46.95","7.22K","3.71%"
"Oct 18, 1999","47.23","47.10","48.00","46.62","4.01K","0.13%"
"Oct 14, 1999","47.17","47.15","47.40","47.05","1.12K","-0.21%"
"Oct 13, 1999","47.27","47.10","47.35","47.02","1.86K","1.29%"
"Oct 12, 1999","46.67","46.20","46.73","46.20","2.11K","1.28%"
"Oct 11, 1999","46.08","46.40","46.50","45.80","1.45K","-1.71%"
"Oct 08, 1999","46.88","47.25","47.40","46.50","2.50K","-0.95%"
"Oct 07, 1999","47.33","47.05","48.55","46.83","3.71K","1.13%"
"Oct 06, 1999","46.80","47.50","47.60","46.70","2.66K","-2.90%"
"Oct 05, 1999","48.20","49.60","49.60","48.20","2.95K","-3.98%"
"Oct 04, 1999","50.20","50.25","50.35","49.30","3.07K","-0.36%"
"Oct 01, 1999","50.38","49.55","50.80","49.40","3.61K","2.86%"
"Sep 30, 1999","48.98","49.25","49.60","48.70","2.72K","-0.85%"
"Sep 29, 1999","49.40","48.40","49.50","48.20","3.59K","2.02%"
"Sep 28, 1999","48.42","48.20","49.15","47.90","4.87K","-0.16%"
"Sep 27, 1999","48.50","48.00","48.50","48.00","1.58K","4.30%"
"Sep 24, 1999","46.50","46.30","46.75","45.92","3.35K","0.87%"
"Sep 23, 1999","46.10","46.30","46.35","45.60","3.25K","1.21%"
"Sep 22, 1999","45.55","45.00","45.70","44.92","3.43K","1.61%"
"Sep 21, 1999","44.83","45.20","45.60","44.65","4.45K","0.40%"
"Sep 20, 1999","44.65","44.25","45.20","44.10","4.06K","2.24%"
"Sep 17, 1999","43.67","43.00","44.05","42.75","3.45K","2.70%"
"Sep 16, 1999","42.52","42.70","43.45","41.60","3.68K","-0.58%"
"Sep 15, 1999","42.77","43.00","44.55","42.60","5.63K","-0.77%"
"Sep 14, 1999","43.10","42.85","43.15","40.98","6.79K","0.28%"
"Sep 13, 1999","42.98","43.40","43.90","42.85","4.36K","-0.58%"
"Sep 10, 1999","43.23","42.80","43.77","42.35","6.56K","-0.16%"
"Sep 09, 1999","43.30","45.30","45.75","43.30","5.41K","-4.42%"
"Sep 08, 1999","45.30","45.85","45.95","45.05","4.52K","-1.84%"
"Sep 07, 1999","46.15","45.70","46.38","45.30","2.57K","0.65%"
"Sep 03, 1999","45.85","46.75","46.75","45.80","2.83K","-2.55%"
