Date,Price per unit (USD/lb)
2020-11-11,1.406
2020-11-10,1.4084999999999999
2020-11-09,1.4163
2020-11-06,1.3769999999999998
2020-11-05,1.3757
2020-11-04,1.3769999999999998
2020-11-03,1.3613
2020-11-02,1.3698
2020-10-30,1.374
2020-10-29,1.3644999999999998
2020-10-28,1.3518000000000001
2020-10-27,1.3430000000000002
2020-10-26,1.337
2020-10-23,1.3352000000000002
2020-10-22,1.3381999999999998
2020-10-21,1.344
2020-10-20,1.345
2020-10-19,1.3459999999999999
2020-10-16,1.381
2020-10-15,1.3893
2020-10-14,1.3838
2020-10-13,1.3813
2020-10-12,1.3730000000000002
2020-10-09,1.3825
2020-10-08,1.3805
2020-10-07,1.385
2020-10-06,1.3813
2020-10-05,1.4005
2020-10-02,1.399
2020-10-01,1.4093
2020-09-30,1.4135
2020-09-29,1.4293
2020-09-28,1.4093
2020-09-25,1.4032
2020-09-24,1.4244999999999999
2020-09-23,1.42
2020-09-22,1.4169999999999998
2020-09-21,1.4106999999999998
2020-09-18,1.4088
2020-09-17,1.3993
2020-09-16,1.405
2020-09-15,1.4168
2020-09-14,1.415
2020-09-11,1.4
2020-09-10,1.3918000000000001
2020-09-09,1.3840000000000001
2020-09-08,1.3895
2020-09-04,1.3765
2020-09-03,1.376
2020-09-02,1.3869999999999998
2020-09-01,1.4013
2020-08-31,1.403
2020-08-28,1.4002000000000001
2020-08-27,1.4198
2020-08-26,1.4247999999999998
2020-08-25,1.4225
2020-08-24,1.42
2020-08-21,1.4293
2020-08-20,1.4343000000000001
2020-08-19,1.4355000000000002
2020-08-18,1.4323
2020-08-17,1.4272999999999998
2020-08-14,1.4393
2020-08-13,1.4494999999999998
2020-08-12,1.4525
2020-08-11,1.445
2020-08-10,1.4357
2020-08-07,1.4272999999999998
2020-08-06,1.4347999999999999
2020-08-05,1.4480000000000002
2020-08-04,1.4469999999999998
2020-08-03,1.4487999999999999
2020-07-31,1.4468
2020-07-30,1.4302000000000001
2020-07-29,1.4198
2020-07-28,1.4069999999999998
2020-07-27,1.3935
2020-07-24,1.4205
2020-07-23,1.4202000000000001
2020-07-22,1.4152
2020-07-21,1.4132
2020-07-20,1.416
2020-07-17,1.4269999999999998
2020-07-16,1.426
2020-07-15,1.3943
2020-07-14,1.3673
2020-07-13,1.3705
2020-07-10,1.3575
2020-07-09,1.3452000000000002
2020-07-08,1.3405
2020-07-07,1.3493000000000002
2020-07-06,1.3615000000000002
2020-07-02,1.3488
2020-07-01,1.3307
2020-06-30,1.3285
2020-06-29,1.335
2020-06-26,1.3259999999999998
2020-06-25,1.3325
2020-06-24,1.3288
2020-06-23,1.3319999999999999
2020-06-22,1.3175
2020-06-19,1.3255000000000001
2020-06-18,1.3297999999999999
2020-06-17,1.3356999999999999
2020-06-16,1.3288
2020-06-15,1.3118
2020-06-12,1.311
2020-06-11,1.3218
2020-06-10,1.3268
2020-06-09,1.3425
2020-06-08,1.3307
2020-06-05,1.3418
2020-06-04,1.3473
2020-06-03,1.3422999999999998
2020-06-02,1.3343
2020-06-01,1.3613
2020-05-29,1.3535
2020-05-28,1.355
2020-05-27,1.3402
2020-05-26,1.3330000000000002
2020-05-22,1.288
2020-05-21,1.2603
2020-05-20,1.26
2020-05-19,1.2743
2020-05-18,1.266
2020-05-15,1.2472
2020-05-14,1.238
2020-05-13,1.253
2020-05-12,1.273
2020-05-11,1.2365000000000002
2020-05-08,1.2790000000000001
2020-05-07,1.3027000000000002
2020-05-06,1.2409999999999999
2020-05-05,1.196
2020-05-04,1.1906999999999999
2020-05-01,1.1782
2020-04-30,1.1918
2020-04-29,1.1955
2020-04-28,1.1963
2020-04-27,1.204
2020-04-24,1.198
2020-04-23,1.1943000000000001
2020-04-22,1.1847
2020-04-21,1.179
2020-04-20,1.1832
2020-04-17,1.1953
2020-04-16,1.1825
2020-04-15,1.158
2020-04-14,1.1640000000000001
2020-04-13,1.1503
2020-04-10,1.1872
2020-04-09,1.1953
2020-04-08,1.1987999999999999
2020-04-07,1.1493
2020-04-06,1.1043
2020-04-03,1.0825
2020-04-02,1.1068
2020-04-01,1.1743000000000001
2020-03-31,1.2193
2020-03-30,1.2005
2020-03-27,1.206
2020-03-26,1.308
2020-03-25,1.3207
2020-03-24,1.3022999999999998
2020-03-23,1.2522
2020-03-20,1.2072
2020-03-19,1.1706999999999999
2020-03-18,1.1258
2020-03-17,1.1355
2020-03-16,1.085
2020-03-13,1.13
2020-03-12,1.1883
2020-03-11,1.2333
2020-03-10,1.2775
2020-03-09,1.262
