,Date,Price (USD AM),Price (USD PM)
AU,2020-11-09,1957.45,1867.3
AU,2020-11-06,1947.95,1940.8
AU,2020-11-05,1916.8,1938.45
AU,2020-11-04,1888.55,1900.15
AU,2020-11-03,1899.85,1908.3
AU,2020-11-02,1886.75,1889.9
AU,2020-10-30,1875.8,1881.85
AU,2020-10-29,1876.85,1870.3
AU,2020-10-28,1896.85,1869.95
AU,2020-10-27,1898.9,1905.7
AU,2020-10-26,1901.6,1898.45
AU,2020-10-23,1910.6,1903.65
AU,2020-10-22,1916.85,1900.95
AU,2020-10-21,1918.95,1924.15
AU,2020-10-20,1906.35,1898.4
AU,2020-10-19,1910.0,1905.6
AU,2020-10-16,1908.2,1905.05
AU,2020-10-15,1891.7,1891.9
AU,2020-10-14,1896.45,1910.05
AU,2020-10-13,1920.8,1891.3
AU,2020-10-12,1919.8,1925.5
AU,2020-10-09,1912.4,1923.25
AU,2020-10-08,1891.35,1887.45
AU,2020-10-07,1888.0,1884.5
AU,2020-10-06,1912.5,1913.4
AU,2020-10-05,1899.65,1909.6
AU,2020-10-02,1906.4,1903.05
AU,2020-10-01,1895.55,1902.0
AU,2020-09-30,1883.4,1886.9
AU,2020-09-29,1882.4,1883.95
AU,2020-09-28,1850.95,1864.3
AU,2020-09-25,1870.05,1859.7
AU,2020-09-24,1850.75,1861.75
AU,2020-09-23,1888.1,1873.4
AU,2020-09-22,1903.1,1906.0
AU,2020-09-21,1930.9,1909.35
AU,2020-09-18,1954.75,1950.85
AU,2020-09-17,1936.1,1936.25
AU,2020-09-16,1964.8,1961.8
AU,2020-09-15,1963.55,1949.35
AU,2020-09-14,1942.3,1958.7
AU,2020-09-11,1944.5,1947.4
AU,2020-09-10,1944.8,1966.25
AU,2020-09-09,1928.4,1947.2
AU,2020-09-08,1920.6,1910.95
AU,2020-09-07,1928.4,1928.45
AU,2020-09-04,1937.6,1926.3
AU,2020-09-03,1934.1,1940.45
AU,2020-09-02,1969.0,1947.05
AU,2020-09-01,1987.95,1972.35
AU,2020-08-28,1955.85,1957.35
AU,2020-08-27,1938.8,1923.85
AU,2020-08-26,1918.5,1932.95
AU,2020-08-25,1925.45,1911.15
AU,2020-08-24,1947.55,1943.95
AU,2020-08-21,1932.85,1924.35
AU,2020-08-20,1928.05,1927.15
AU,2020-08-19,1993.15,1981.0
AU,2020-08-18,2005.15,2008.75
AU,2020-08-17,1949.85,1972.85
AU,2020-08-14,1948.3,1944.75
AU,2020-08-13,1931.0,1944.25
AU,2020-08-12,1931.7,1931.9
AU,2020-08-11,1996.6,1939.65
AU,2020-08-10,2030.3,2044.5
AU,2020-08-07,2061.5,2031.15
AU,2020-08-06,2049.15,2067.15
AU,2020-08-05,2034.45,2048.15
AU,2020-08-04,1972.25,1977.9
AU,2020-08-03,1972.95,1958.55
AU,2020-07-31,1974.7,1964.9
AU,2020-07-30,1952.2,1957.65
AU,2020-07-29,1954.35,1950.9
AU,2020-07-28,1931.65,1940.9
AU,2020-07-27,1940.55,1936.65
AU,2020-07-24,1893.85,1902.1
AU,2020-07-23,1882.35,1878.3
AU,2020-07-22,1851.0,1852.4
AU,2020-07-21,1823.2,1842.55
AU,2020-07-20,1810.3,1815.65
AU,2020-07-17,1802.9,1807.35
AU,2020-07-16,1804.6,1807.7
AU,2020-07-15,1809.3,1804.6
AU,2020-07-14,1798.2,1801.9
AU,2020-07-13,1808.05,1807.5
AU,2020-07-10,1805.75,1803.1
AU,2020-07-09,1812.45,1812.1
AU,2020-07-08,1799.35,1811.1
AU,2020-07-07,1775.5,1789.55
AU,2020-07-06,1774.4,1787.9
AU,2020-07-03,1774.65,1772.9
AU,2020-07-02,1771.85,1777.45
AU,2020-07-01,1787.4,1771.05
AU,2020-06-30,1770.7,1768.1
AU,2020-06-29,1768.8,1771.6
AU,2020-06-26,1762.1,1747.6
AU,2020-06-25,1758.55,1756.55
AU,2020-06-24,1775.7,1766.05
AU,2020-06-23,1756.6,1768.9
AU,2020-06-22,1745.45,1761.85
AU,2020-06-19,1728.55,1734.75
AU,2020-06-18,1732.65,1719.5
AU,2020-06-17,1717.3,1724.35
AU,2020-06-16,1728.35,1719.85
AU,2020-06-15,1710.4,1710.45
AU,2020-06-12,1735.85,1733.5
AU,2020-06-11,1731.9,1738.25
AU,2020-06-10,1717.65,1722.05
AU,2020-06-09,1707.5,1713.5
AU,2020-06-08,1692.0,1690.35
AU,2020-06-05,1709.55,1683.45
AU,2020-06-04,1706.45,1700.05
AU,2020-06-03,1717.6,1705.35
AU,2020-06-02,1740.25,1742.15
