,Date,Price (USD AM),Price (USD PM)
PD,2020-11-06,2391.0,2450.0
PD,2020-11-05,2340.0,2404.0
PD,2020-11-04,2263.0,2296.0
PD,2020-11-03,2251.0,2301.0
PD,2020-11-02,2234.0,2203.0
PD,2020-10-30,2226.0,2228.0
PD,2020-10-29,2233.0,2206.0
PD,2020-10-28,2331.0,2225.0
PD,2020-10-27,2365.0,2351.0
PD,2020-10-26,2363.0,2364.0
PD,2020-10-23,2381.0,2394.0
PD,2020-10-22,2404.0,2362.0
PD,2020-10-21,2400.0,2405.0
PD,2020-10-20,2350.0,2352.0
PD,2020-10-19,2345.0,2342.0
PD,2020-10-16,2347.0,2331.0
PD,2020-10-15,2347.0,2331.0
PD,2020-10-14,2365.0,2358.0
PD,2020-10-13,2416.0,2330.0
PD,2020-10-12,2450.0,2437.0
PD,2020-10-09,2410.0,2450.0
PD,2020-10-08,2368.0,2400.0
PD,2020-10-07,2360.0,2358.0
PD,2020-10-06,2348.0,2370.0
PD,2020-10-05,2315.0,2354.0
PD,2020-10-02,2311.0,2312.0
PD,2020-10-01,2322.0,2334.0
PD,2020-09-29,2265.0,2275.0
PD,2020-09-28,2227.0,2257.0
PD,2020-09-25,2236.0,2204.0
PD,2020-09-24,2225.0,2212.0
PD,2020-09-23,2232.0,2245.0
PD,2020-09-22,2267.0,2282.0
PD,2020-09-21,2347.0,2316.0
PD,2020-09-18,2346.0,2321.0
PD,2020-09-17,2365.0,2343.0
PD,2020-09-16,2375.0,2407.0
PD,2020-09-15,2329.0,2343.0
PD,2020-09-14,2324.0,2339.0
PD,2020-09-11,2304.0,2301.0
PD,2020-09-10,2291.0,2311.0
PD,2020-09-09,2256.0,2270.0
PD,2020-09-08,2312.0,2300.0
PD,2020-09-07,2300.0,2310.0
PD,2020-09-04,2283.0,2290.0
PD,2020-09-03,2294.0,2353.0
PD,2020-09-02,2253.0,2261.0
PD,2020-09-01,2273.0,2317.0
PD,2020-08-28,2180.0,2176.0
PD,2020-08-27,2184.0,2168.0
PD,2020-08-26,2165.0,2176.0
PD,2020-08-25,2166.0,2163.0
PD,2020-08-24,2170.0,2195.0
PD,2020-08-21,2180.0,2190.0
PD,2020-08-20,2170.0,2163.0
PD,2020-08-19,2193.0,2165.0
PD,2020-08-18,2215.0,2195.0
PD,2020-08-17,2178.0,2202.0
PD,2020-08-14,2150.0,2146.0
PD,2020-08-13,2145.0,2190.0
PD,2020-08-12,2130.0,2162.0
PD,2020-08-11,2180.0,2113.0
PD,2020-08-10,2190.0,2220.0
PD,2020-08-07,2184.0,2150.0
PD,2020-08-06,2220.0,2222.0
PD,2020-08-05,2154.0,2178.0
PD,2020-08-04,2100.0,2101.0
PD,2020-08-03,2105.0,2120.0
PD,2020-07-31,2094.0,2065.0
PD,2020-07-30,2085.0,2055.0
PD,2020-07-29,2270.0,2215.0
PD,2020-07-28,2281.0,2267.0
PD,2020-07-27,2262.0,2304.0
PD,2020-07-24,2135.0,2185.0
PD,2020-07-23,2156.0,2126.0
PD,2020-07-22,2109.0,2142.0
PD,2020-07-21,2082.0,2160.0
PD,2020-07-20,2027.0,2040.0
PD,2020-07-17,1982.0,2023.0
PD,2020-07-16,1976.0,1992.0
PD,2020-07-15,1976.0,1957.0
PD,2020-07-14,1983.0,1978.0
PD,2020-07-13,1983.0,1991.0
PD,2020-07-10,1946.0,1944.0
PD,2020-07-09,1955.0,1970.0
PD,2020-07-08,1925.0,1940.0
PD,2020-07-07,1923.0,1920.0
PD,2020-07-06,1920.0,1925.0
PD,2020-07-03,1910.0,1905.0
PD,2020-07-02,1905.0,1905.0
PD,2020-07-01,1935.0,1920.0
PD,2020-06-30,1914.0,1905.0
PD,2020-06-29,1875.0,1905.0
PD,2020-06-26,1846.0,1847.0
PD,2020-06-25,1870.0,1836.0
PD,2020-06-24,1940.0,1910.0
PD,2020-06-23,1930.0,1930.0
PD,2020-06-22,1918.0,1894.0
PD,2020-06-19,1899.0,1888.0
PD,2020-06-18,1933.0,1919.0
PD,2020-06-17,1929.0,1903.0
PD,2020-06-16,1966.0,1952.0
PD,2020-06-15,1902.0,1900.0
PD,2020-06-12,1945.0,1935.0
PD,2020-06-11,1927.0,1915.0
PD,2020-06-10,1925.0,1970.0
PD,2020-06-09,1968.0,1960.0
PD,2020-06-08,1950.0,1995.0
PD,2020-06-05,1925.0,1925.0
PD,2020-06-04,1950.0,1915.0
PD,2020-06-03,1952.0,1955.0
PD,2020-06-02,1954.0,1968.0
PD,2020-06-01,1935.0,1925.0
PD,2020-05-29,1921.0,1920.0
PD,2020-05-28,1940.0,1920.0
PD,2020-05-27,1965.0,1936.0
PD,2020-05-26,1957.0,1939.0
PD,2020-05-22,1980.0,1915.0
PD,2020-05-21,2038.0,2078.0
PD,2020-05-20,2068.0,2083.0
PD,2020-05-19,1991.0,2033.0
PD,2020-05-18,1920.0,2000.0
PD,2020-05-15,1825.0,1840.0
PD,2020-05-14,1810.0,1785.0
PD,2020-05-13,1835.0,1830.0
PD,2020-05-12,1865.0,1835.0
PD,2020-05-11,1850.0,1830.0
PD,2020-05-07,1815.0,1810.0
PD,2020-05-06,1775.0,1785.0
PD,2020-05-05,1815.0,1770.0
PD,2020-05-04,1900.0,1895.0
PD,2020-05-01,1927.0,1934.0
PD,2020-04-30,1991.0,1986.0
PD,2020-04-29,1958.0,1932.0
PD,2020-04-28,1913.0,1888.0
PD,2020-04-27,1987.0,1943.0
PD,2020-04-24,2040.0,2005.0
PD,2020-04-23,1950.0,1990.0
PD,2020-04-22,1955.0,1955.0
PD,2020-04-21,2135.0,1850.0
PD,2020-04-20,2165.0,2150.0
PD,2020-04-17,2180.0,2154.0
PD,2020-04-16,2213.0,2139.0
PD,2020-04-15,2229.0,2152.0
PD,2020-04-14,2230.0,2189.0
PD,2020-04-09,2180.0,2166.0
PD,2020-04-08,2160.0,2180.0
PD,2020-04-07,2190.0,2175.0
PD,2020-04-06,2120.0,2110.0
PD,2020-04-03,2234.0,2140.0
PD,2020-04-02,2288.0,2123.0
PD,2020-04-01,2314.0,2236.0
PD,2020-03-31,2317.0,2307.0
PD,2020-03-30,2236.0,2242.0
PD,2020-03-27,2370.0,2253.0
PD,2020-03-26,2258.0,2267.0
PD,2020-03-25,2047.0,2045.0
PD,2020-03-24,1820.0,1955.0
PD,2020-03-23,1659.0,1650.0
PD,2020-03-20,1704.0,1635.0
PD,2020-03-19,1593.0,1709.0
PD,2020-03-18,1588.0,1598.0
PD,2020-03-17,1583.0,1602.0
PD,2020-03-16,1720.0,1557.0
PD,2020-03-13,1975.0,1744.0
PD,2020-03-12,2230.0,2040.0
PD,2020-03-11,2367.0,2379.0
PD,2020-03-10,2458.0,2435.0
PD,2020-03-09,2432.0,2489.0
PD,2020-03-06,2465.0,2571.0
PD,2020-03-05,2495.0,2482.0
PD,2020-03-04,2436.0,2443.0
PD,2020-03-03,2516.0,2470.0
PD,2020-03-02,2660.0,2523.0
PD,2020-02-28,2743.0,2719.0
PD,2020-02-27,2795.0,2755.0
PD,2020-02-26,2719.0,2710.0
PD,2020-02-25,2676.0,2670.0
PD,2020-02-24,2697.0,2663.0
PD,2020-02-21,2714.0,2690.0
PD,2020-02-20,2705.0,2708.0
PD,2020-02-19,2786.0,2781.0
PD,2020-02-18,2542.0,2540.0
PD,2020-02-17,2471.0,2492.0
PD,2020-02-14,2441.0,2458.0
PD,2020-02-13,2400.0,2412.0
PD,2020-02-12,2341.0,2343.0
PD,2020-02-11,2329.0,2334.0
PD,2020-02-10,2367.0,2366.0
PD,2020-02-07,2338.0,2298.0
PD,2020-02-06,2414.0,2416.0
PD,2020-02-05,2483.0,2439.0
PD,2020-02-04,2404.0,2400.0
PD,2020-02-03,2281.0,2300.0
PD,2020-01-31,2300.0,2295.0
PD,2020-01-30,2270.0,2279.0
PD,2020-01-29,2324.0,2279.0
PD,2020-01-28,2281.0,2261.0
PD,2020-01-27,2377.0,2330.0
PD,2020-01-24,2463.0,2455.0
PD,2020-01-23,2479.0,2410.0
PD,2020-01-22,2417.0,2425.0
PD,2020-01-21,2466.0,2420.0
PD,2020-01-20,2573.0,2533.0
PD,2020-01-17,2368.0,2465.0
PD,2020-01-16,2366.0,2323.0
PD,2020-01-15,2186.0,2231.0
PD,2020-01-14,2147.0,2152.0
PD,2020-01-13,2117.0,2134.0
PD,2020-01-10,2120.0,2110.0
PD,2020-01-09,2120.0,2119.0
PD,2020-01-08,2090.0,2103.0
PD,2020-01-07,2028.0,2030.0
PD,2020-01-06,2023.0,2016.0
PD,2020-01-03,1961.0,1977.0
PD,2020-01-02,1950.0,1946.0
PD,2019-12-23,1881.0,1853.0
PD,2019-12-20,1939.0,1930.0
PD,2019-12-19,1926.0,1929.0
PD,2019-12-18,1936.0,1936.0
PD,2019-12-17,1990.0,1950.0
PD,2019-12-16,1961.0,1964.0
PD,2019-12-13,1969.0,1971.0
