,Date, Price (USD AM),Price (USD PM)
PT,2020-11-06,901.0,911.0
PT,2020-11-05,888.0,897.0
PT,2020-11-04,860.0,873.0
PT,2020-11-03,872.0,875.0
PT,2020-11-02,858.0,855.0
PT,2020-10-30,856.0,852.0
PT,2020-10-29,866.0,860.0
PT,2020-10-28,874.0,862.0
PT,2020-10-27,873.0,880.0
PT,2020-10-26,891.0,878.0
PT,2020-10-23,892.0,917.0
PT,2020-10-22,892.0,870.0
PT,2020-10-21,876.0,894.0
PT,2020-10-20,855.0,868.0
PT,2020-10-19,872.0,868.0
PT,2020-10-16,863.0,870.0
PT,2020-10-15,855.0,846.0
PT,2020-10-14,876.0,873.0
PT,2020-10-13,871.0,869.0
PT,2020-10-12,888.0,885.0
PT,2020-10-09,879.0,892.0
PT,2020-10-08,866.0,871.0
PT,2020-10-07,864.0,868.0
PT,2020-10-06,889.0,878.0
PT,2020-10-05,881.0,888.0
PT,2020-10-02,894.0,891.0
PT,2020-10-01,899.0,898.0
PT,2020-09-30,872.0,884.0
PT,2020-09-29,874.0,880.0
PT,2020-09-28,853.0,862.0
PT,2020-09-25,857.0,841.0
PT,2020-09-24,839.0,831.0
PT,2020-09-23,854.0,852.0
PT,2020-09-22,886.0,878.0
PT,2020-09-21,925.0,907.0
PT,2020-09-18,943.0,939.0
PT,2020-09-17,951.0,940.0
PT,2020-09-16,981.0,971.0
PT,2020-09-15,965.0,975.0
PT,2020-09-14,940.0,947.0
PT,2020-09-11,930.0,929.0
PT,2020-09-10,923.0,930.0
PT,2020-09-09,911.0,916.0
PT,2020-09-08,909.0,901.0
PT,2020-09-07,906.0,898.0
PT,2020-09-04,905.0,903.0
PT,2020-09-03,913.0,898.0
PT,2020-09-02,936.0,920.0
PT,2020-09-01,950.0,956.0
PT,2020-08-28,930.0,930.0
PT,2020-08-27,933.0,930.0
PT,2020-08-26,922.0,916.0
PT,2020-08-25,922.0,930.0
PT,2020-08-24,926.0,930.0
PT,2020-08-21,912.0,900.0
PT,2020-08-20,931.0,916.0
PT,2020-08-19,952.0,946.0
PT,2020-08-18,972.0,957.0
PT,2020-08-17,955.0,950.0
PT,2020-08-14,945.0,952.0
PT,2020-08-13,940.0,948.0
PT,2020-08-12,938.0,940.0
PT,2020-08-11,952.0,944.0
PT,2020-08-10,972.0,986.0
PT,2020-08-07,974.0,979.0
PT,2020-08-06,977.0,976.0
PT,2020-08-05,953.0,965.0
PT,2020-08-04,923.0,911.0
PT,2020-08-03,906.0,909.0
PT,2020-07-31,908.0,905.0
PT,2020-07-30,908.0,890.0
PT,2020-07-29,945.0,940.0
PT,2020-07-28,926.0,943.0
PT,2020-07-27,941.0,928.0
PT,2020-07-24,917.0,925.0
PT,2020-07-23,928.0,906.0
PT,2020-07-22,878.0,892.0
PT,2020-07-21,852.0,873.0
PT,2020-07-20,842.0,845.0
PT,2020-07-17,825.0,824.0
PT,2020-07-16,827.0,822.0
PT,2020-07-15,833.0,833.0
PT,2020-07-14,823.0,823.0
PT,2020-07-13,838.0,845.0
PT,2020-07-10,842.0,835.0
PT,2020-07-09,858.0,856.0
PT,2020-07-08,840.0,844.0
PT,2020-07-07,822.0,830.0
PT,2020-07-06,819.0,827.0
PT,2020-07-03,812.0,808.0
PT,2020-07-02,822.0,813.0
PT,2020-07-01,825.0,823.0
PT,2020-06-30,810.0,814.0
PT,2020-06-29,812.0,812.0
PT,2020-06-26,802.0,799.0
PT,2020-06-25,807.0,797.0
PT,2020-06-24,826.0,811.0
PT,2020-06-23,825.0,822.0
PT,2020-06-22,809.0,820.0
PT,2020-06-19,805.0,820.0
PT,2020-06-18,817.0,814.0
PT,2020-06-17,816.0,819.0
PT,2020-06-16,830.0,823.0
PT,2020-06-15,805.0,796.0
PT,2020-06-12,824.0,822.0
PT,2020-06-11,825.0,820.0
PT,2020-06-10,839.0,838.0
PT,2020-06-09,823.0,833.0
PT,2020-06-08,832.0,838.0
PT,2020-06-05,835.0,823.0
PT,2020-06-04,833.0,834.0
PT,2020-06-03,828.0,826.0
